route_id,route_short_name,agency_id,route_long_name,route_type
385B,385B,16,37 Station to New Town Station,3
283A,283A,78,Kaneshie Mkt Cmplx to Makola Tudu,3
288B,288B,79,Swanlake Laststop to Kaneshie Mkt Cmplx,3
100A,100A,22,Achimota Station to Legon Station,3
424A,424A,48,Odorna Station to Nungua Station,3
401B,401B,69,Israel Station to Nima Overhead Station,3
249B,249B,40,Kaneshie Mkt Cmplx to Darkuman,3
410B,410B,69,Sukura Station to Nima Overhead Station,3
399B,399B,69,Achimota Station to Nima Overhead Station,3
542A,542A,89,Zongo Junction to Chorkor Station,3
256B,256B,42,Accra New Tema Station to Adjiringanor Station,3
265A,265A,53,Kaneshie Mkt Cmplx to Sukura Station,3
446A,446A,13,Opetekwei Station to Kaneshie Mkt Cmplx,3
535B,535B,103,Agbogbloshie Station No. 2 to Zamrara Line,3
522A,522A,53,Accra New Tema Station to Sukura Station,3
123B,123B,20,B to Achimota Station,3
090B,090B,19,Darkuman to Achimota Station,3
523B,523B,61,Trade Fair to Accra New Tema Station,3
406A,406A,69,Nima Overhead Station to Mallam Station,3
299B,299B,50,Abeka lapaz to Korle Bu Station,3
221B,221B,75,Madina Station to Circle Overhead (Maame Dokono),3
167B,167B,34,Kaneshie Mkt Cmplx to Atico,3
269A,269A,49,Kaneshie Mkt Cmplx to Bubiashie Station,3
270A,270A,91,Kaneshie Mkt Cmplx to Camara Station,3
267A,267A,50,Kaneshie Mkt Cmplx to Soko Station,3
029B,029B,4,Kaneshie Mkt Cmplx to Abeka Market station,3
076A,076A,22,Achimota to 37 Station,3
423B,423B,75,Nima Overhead Station to Odorna Station,3
244B,244B,37,New Tema Station to Dansoman Laststop,3
271B,271B,50,Chorkor Station to Kaneshie Mamprobi Station,3
266A,266A,94,Kaneshie Mkt Cmplx to Afropa,3
282A,282A,50,Kaneshie Mamprobi Station to Shalom Station,3
302B,302B,50,Kwashieman Station to Korle Bu Station,3
286A,286A,79,Kaneshie Mkt Cmplx to New Fadama,3
287A,287A,79,Kaneshie Mkt Cmplx to Old Melcom 2,3
274A,274A,51,Kaneshie Mkt Cmplx to Maamobi-Nima Terminal,3
275A,275A,51,Kaneshie Mkt Cmplx to Adenta Station,3
284A,284A,79,Kaneshie Mkt Cmplx to Agyapaye Station,3
520B,520B,91,Camara Station to Accra New Tema Station,3
363B,363B,9,Kaneshie Mkt Cmplx to Mataheko New Russia Station,3
452B,452B,34,Kaneshie Mkt Cmplx to Orgle Road Station,3
455B,455B,86,Kaneshie Mkt Cmplx to Osu Blow Up,3
446B,446B,13,Kaneshie Mkt Cmplx to Opetekwei Station,3
291A,291A,83,Kaneshie Mkt Cmplx to Korle Bu Station,3
295A,295A,83,Kaneshie Mkt Cmplx to New Russia,3
296A,296A,83,Kaneshie Mkt Cmplx to Russia,3
437A,437A,81,Odorkor Station to Sakaman,3
271A,271A,50,Kaneshie Mamprobi Station to Chorkor Station,3
273A,273A,50,Kaneshie Mamprobi Station to Korle bu Station,3
276A,276A,50,Kaneshie Mamprobi Station to Mamponse Station,3
263B,263B,23,Haatso to Darkuman,3
380B,380B,3,Haatso to Abeka lapaz,3
212A,212A,97,Circle Coporative Station to Accra New Tema Station,3
225B,225B,12,Fan Milk to Accra CMB,3
196B,196B,68,Kotobabi Down Station to Circle,3
314A,314A,56,Kwashieman Station to Achimota Station,3
309A,309A,55,Kotobabi Down Station to Circle Lido,3
035B,035B,65,Agape Station to Abeka lapaz,3
038B,038B,95,Amasaman to Abeka lapaz,3
308A,308A,55,Kotobabi Down Station to Accra CMB,3
055A,055A,65,Abeka lapaz to Osu Blow Up,3
100B,100B,22,Legon Station to Achimota Station,3
149A,149A,90,Agbogbloshie Station to Camara Station,3
307B,307B,55,37 Station to Kotobabi Down Station,3
096B,096B,22,Kotobabi Down Station to Achimota Station,3
307A,307A,55,Kotobabi Down Station to 37 Station,3
389A,389A,16,New Town Station to Madina Station,3
353A,353A,67,Legon Station to Social Welfare,3
099B,099B,20,Legon Station to Achimota Station,3
011B,011B,1,Circle to Abeka lapaz,3
318A,318A,56,Kwashieman Station to Madina Station,3
118B,118B,24,Nungua Station to Achimota Station,3
209A,209A,33,Circle Odorna Station to Swanlake Laststop,3
349A,349A,45,Abeka lapaz to Yellow House,3
344B,344B,45,Santa Maria to Abeka lapaz,3
456B,456B,86,Madina Station to Osu Blow Up,3
098B,098B,19,Abeka lapaz to Achimota Station,3
216B,216B,68,Abeka lapaz to Circle,3
039A,039A,65,Nyamekye to Aunti Eku Pallas Town,3
206A,206A,97,UTC Station to Osu RE,3
157B,157B,28,Circle Lido to Alajo Taxi Rank,3
274B,274B,51,Maamobi-Nima Terminal to Kaneshie Mkt Cmplx,3
222B,222B,75,Maamobi-Nima Terminal to Lido Terminal (Circle Overhead),3
414B,414B,74,Madina Station to Nima Overhead Station,3
